 

stn;time;tre200s0;qtre200s0
LUZ;202301011230;12.3;4
LUZ;202301011240;12.5;4
LUZ;202301011250;12.8;4
LUZ;202301011300;12.8;4
LUZ;202301011310;13.2;4
LUZ;202301011320;13.1;4
LUZ;202301011330;12.9;4
LUZ;202301011340;12.6;4
LUZ;202301011350;12.6;4
LUZ;202301011400;12.2;4
LUZ;202301011410;12.0;4
LUZ;202301011420;11.5;4
LUZ;202301011430;11.5;4
LUZ;202301011440;10.7;4
LUZ;202301011450;10.8;4
LUZ;202301011500;9.8;4
LUZ;202301011510;10.0;4
LUZ;202301011520;9.3;4
LUZ;202301011530;9.1;4
LUZ;202301011540;8.9;4
LUZ;202301011550;8.2;4
LUZ;202301011600;8.5;4
LUZ;202301011610;8.0;4
LUZ;202301011620;7.7;4
LUZ;202301011630;7.7;4
LUZ;202301011640;7.0;4
LUZ;202301011650;7.2;4
LUZ;202301011700;6.8;4
LUZ;202301011710;7.2;4
LUZ;202301011720;6.7;4
LUZ;202301011730;6.4;4
LUZ;202301011740;6.9;4
LUZ;202301011750;6.6;4
LUZ;202301011800;7.0;4
LUZ;202301011810;7.2;4
LUZ;202301011820;6.9;4
LUZ;202301011830;7.8;4
LUZ;202301011840;7.0;4
LUZ;202301011850;6.3;4
LUZ;202301011900;7.1;4
LUZ;202301011910;6.7;4
LUZ;202301011920;6.4;4
LUZ;202301011930;6.6;4
LUZ;202301011940;6.4;4
LUZ;202301011950;5.8;4
LUZ;202301012000;6.5;4
LUZ;202301012010;6.2;4
LUZ;202301012020;6.3;4
LUZ;202301012030;5.7;4
LUZ;202301012040;5.7;4
LUZ;202301012050;5.7;4
LUZ;202301012100;5.5;4
LUZ;202301012110;5.0;4
LUZ;202301012120;5.3;4
LUZ;202301012130;5.2;4
LUZ;202301012140;5.3;4
LUZ;202301012150;5.8;4
LUZ;202301012200;5.4;4
LUZ;202301012210;5.5;4
LUZ;202301012220;5.0;4
LUZ;202301012230;5.2;4
LUZ;202301012240;4.9;4
LUZ;202301012250;5.4;4
LUZ;202301012300;5.8;4
LUZ;202301012310;4.6;4
LUZ;202301012320;5.4;4
LUZ;202301012330;4.7;4
LUZ;202301012340;5.8;4
LUZ;202301012350;5.0;4
LUZ;202301020000;5.1;4
LUZ;202301020010;4.3;4
LUZ;202301020020;4.7;4
LUZ;202301020030;4.7;4
LUZ;202301020040;4.6;4
LUZ;202301020050;4.4;4
LUZ;202301020100;4.5;4
LUZ;202301020110;4.3;4
LUZ;202301020120;3.9;4
LUZ;202301020130;4.2;4
LUZ;202301020140;4.5;4
LUZ;202301020150;4.1;4
LUZ;202301020200;3.9;4
LUZ;202301020210;4.1;4
LUZ;202301020220;4.0;4
LUZ;202301020230;4.3;4
LUZ;202301020240;3.6;4
LUZ;202301020250;3.3;4
LUZ;202301020300;3.7;4
LUZ;202301020310;3.9;4
LUZ;202301020320;3.7;4
LUZ;202301020330;3.7;4
LUZ;202301020340;4.0;4
LUZ;202301020350;3.8;4
LUZ;202301020400;4.2;4
LUZ;202301020410;3.7;4
LUZ;202301020420;3.2;4
LUZ;202301020430;2.9;4
LUZ;202301020440;3.7;4
LUZ;202301020450;3.3;4
LUZ;202301020500;2.9;4
LUZ;202301020510;3.9;4
LUZ;202301020520;3.8;4
LUZ;202301020530;3.3;4
LUZ;202301020540;3.8;4
LUZ;202301020550;3.0;4
LUZ;202301020600;3.2;4
LUZ;202301020610;3.3;4
LUZ;202301020620;3.4;4
LUZ;202301020630;3.6;4
LUZ;202301020640;3.5;4
LUZ;202301020650;2.8;4
LUZ;202301020700;3.0;4
LUZ;202301020710;3.1;4
LUZ;202301020720;3.1;4
LUZ;202301020730;3.1;4
LUZ;202301020740;3.6;4
LUZ;202301020750;3.4;4
LUZ;202301020800;3.5;4
LUZ;202301020810;3.6;4
LUZ;202301020820;3.9;4
LUZ;202301020830;4.1;4
LUZ;202301020840;3.7;4
LUZ;202301020850;4.4;4
LUZ;202301020900;5.1;4
LUZ;202301020910;4.8;4
LUZ;202301020920;5.1;4
LUZ;202301020930;5.8;4
LUZ;202301020940;5.9;4
LUZ;202301020950;6.4;4
LUZ;202301021000;6.8;4
LUZ;202301021010;6.7;4
LUZ;202301021020;7.3;4
LUZ;202301021030;7.6;4
LUZ;202301021040;8.5;4
LUZ;202301021050;9.1;4
LUZ;202301021100;9.8;4
LUZ;202301021110;10.1;4
LUZ;202301021120;9.9;4
LUZ;202301021130;9.8;4
LUZ;202301021140;10.3;4
LUZ;202301021150;10.4;4
LUZ;202301021200;10.3;4
LUZ;202301021210;10.0;4
LUZ;202301021220;10.7;4
LUZ;202301021230;11.3;4
LUZ;202301021240;11.6;4
LUZ;202301021250;11.6;4
LUZ;202301021300;11.1;4
LUZ;202301021310;11.8;4
LUZ;202301021320;12.1;4
LUZ;202301021330;11.3;4
LUZ;202301021340;11.8;4
LUZ;202301021350;11.1;4
LUZ;202301021400;11.3;4
LUZ;202301021410;11.0;4
LUZ;202301021420;10.9;4
LUZ;202301021430;11.1;4
LUZ;202301021440;10.6;4
LUZ;202301021450;10.8;4
LUZ;202301021500;9.9;4
LUZ;202301021510;10.9;4
LUZ;202301021520;10.6;4
LUZ;202301021530;10.2;4
LUZ;202301021540;10.5;4
LUZ;202301021550;10.2;4
LUZ;202301021600;9.9;4
LUZ;202301021610;10.3;4
LUZ;202301021620;10.4;4
LUZ;202301021630;10.2;4
LUZ;202301021640;9.6;4
LUZ;202301021650;9.7;4
LUZ;202301021700;9.9;4
LUZ;202301021710;8.3;4
LUZ;202301021720;8.5;4
LUZ;202301021730;8.7;4
LUZ;202301021740;8.5;4
LUZ;202301021750;8.0;4
LUZ;202301021800;7.6;4
LUZ;202301021810;7.4;4
LUZ;202301021820;7.7;4
LUZ;202301021830;7.8;4
LUZ;202301021840;7.7;4
LUZ;202301021850;7.5;4
LUZ;202301021900;7.3;4
LUZ;202301021910;7.1;4
LUZ;202301021920;7.7;4
LUZ;202301021930;7.4;4
LUZ;202301021940;7.5;4
LUZ;202301021950;7.2;4
LUZ;202301022000;6.9;4
LUZ;202301022010;7.3;4
LUZ;202301022020;7.5;4
LUZ;202301022030;7.5;4
LUZ;202301022040;7.4;4
LUZ;202301022050;7.4;4
LUZ;202301022100;7.1;4
LUZ;202301022110;8.1;4
LUZ;202301022120;7.9;4
LUZ;202301022130;7.7;4
LUZ;202301022140;7.5;4
LUZ;202301022150;7.8;4
LUZ;202301022200;7.7;4
LUZ;202301022210;7.8;4
LUZ;202301022220;7.9;4
LUZ;202301022230;7.5;4
LUZ;202301022240;7.7;4
LUZ;202301022250;7.7;4
LUZ;202301022300;7.8;4
LUZ;202301022310;7.8;4
LUZ;202301022320;8.3;4
LUZ;202301022330;9.2;4
LUZ;202301022340;8.4;4
LUZ;202301022350;9.0;4
LUZ;202301030000;8.6;4
LUZ;202301030010;8.2;4
LUZ;202301030020;8.3;4
LUZ;202301030030;8.2;4
LUZ;202301030040;7.8;4
LUZ;202301030050;8.1;4
LUZ;202301030100;8.0;4
LUZ;202301030110;7.7;4
LUZ;202301030120;7.9;4
LUZ;202301030130;7.9;4
LUZ;202301030140;7.5;4
LUZ;202301030150;7.5;4
LUZ;202301030200;7.8;4
LUZ;202301030210;7.8;4
LUZ;202301030220;7.7;4
LUZ;202301030230;7.7;4
LUZ;202301030240;7.7;4
LUZ;202301030250;7.5;4
LUZ;202301030300;7.6;4
LUZ;202301030310;7.7;4
LUZ;202301030320;7.8;4
LUZ;202301030330;7.9;4
LUZ;202301030340;8.0;4
LUZ;202301030350;8.1;4
LUZ;202301030400;8.2;4
LUZ;202301030410;8.0;4
LUZ;202301030420;8.0;4
LUZ;202301030430;7.9;4
LUZ;202301030440;8.0;4
LUZ;202301030450;7.8;4
LUZ;202301030500;7.9;4
LUZ;202301030510;7.9;4
LUZ;202301030520;7.8;4
LUZ;202301030530;7.9;4
LUZ;202301030540;7.9;4
LUZ;202301030550;7.9;4
LUZ;202301030600;7.9;4
LUZ;202301030610;7.9;4
LUZ;202301030620;7.8;4
LUZ;202301030630;7.8;4
LUZ;202301030640;7.8;4
LUZ;202301030650;7.8;4
LUZ;202301030700;7.8;4
LUZ;202301030710;7.8;4
LUZ;202301030720;7.8;4
LUZ;202301030730;7.8;4
LUZ;202301030740;7.7;4
LUZ;202301030750;7.7;4
LUZ;202301030800;7.5;4
LUZ;202301030810;7.3;4
LUZ;202301030820;7.2;4
LUZ;202301030830;7.2;4
LUZ;202301030840;7.2;4
LUZ;202301030850;7.1;4
LUZ;202301030900;7.1;4
LUZ;202301030910;7.2;4
LUZ;202301030920;7.2;4
LUZ;202301030930;7.3;4
LUZ;202301030940;7.3;4
LUZ;202301030950;7.4;4
LUZ;202301031000;7.4;4
LUZ;202301031010;7.5;4
LUZ;202301031020;7.5;4
LUZ;202301031030;7.5;4
LUZ;202301031040;7.6;4
LUZ;202301031050;7.6;4
LUZ;202301031100;7.5;4
LUZ;202301031110;7.5;4
LUZ;202301031120;7.5;4
LUZ;202301031130;7.7;4
LUZ;202301031140;7.8;4
LUZ;202301031150;7.7;4
LUZ;202301031200;7.7;4
LUZ;202301031210;7.7;4
LUZ;202301031220;7.8;4
LUZ;202301031230;7.8;4
LUZ;202301031240;7.7;4
LUZ;202301031250;7.7;4
LUZ;202301031300;7.6;4
LUZ;202301031310;7.6;4
LUZ;202301031320;7.7;4
LUZ;202301031330;7.5;4
LUZ;202301031340;7.4;4
LUZ;202301031350;7.3;4
LUZ;202301031400;7.3;4
LUZ;202301031410;7.3;4
LUZ;202301031420;7.5;4
LUZ;202301031430;7.5;4
LUZ;202301031440;7.4;4
LUZ;202301031450;7.4;4
LUZ;202301031500;7.3;4
LUZ;202301031510;7.2;4
LUZ;202301031520;7.2;4
LUZ;202301031530;7.1;4
LUZ;202301031540;7.1;4
LUZ;202301031550;7.5;4
LUZ;202301031600;7.3;4
LUZ;202301031610;7.3;4
LUZ;202301031620;7.2;4
LUZ;202301031630;7.3;4
LUZ;202301031640;7.3;4
LUZ;202301031650;7.2;4
LUZ;202301031700;7.2;4
LUZ;202301031710;7.3;4
LUZ;202301031720;7.3;4
LUZ;202301031730;7.0;4
LUZ;202301031740;6.9;4
LUZ;202301031750;6.7;4
LUZ;202301031800;6.8;4
LUZ;202301031810;6.5;4
LUZ;202301031820;6.5;4
LUZ;202301031830;6.3;4
LUZ;202301031840;6.6;4
LUZ;202301031850;6.8;4
LUZ;202301031900;6.3;4
LUZ;202301031910;6.6;4
LUZ;202301031920;5.8;4
LUZ;202301031930;6.1;4
LUZ;202301031940;6.1;4
LUZ;202301031950;6.0;4
LUZ;202301032000;5.6;4
LUZ;202301032010;5.6;4
LUZ;202301032020;5.5;4
LUZ;202301032030;5.5;4
LUZ;202301032040;5.4;4
LUZ;202301032050;5.4;4
LUZ;202301032100;5.3;4
LUZ;202301032110;5.2;4
LUZ;202301032120;5.2;4
LUZ;202301032130;4.9;4
LUZ;202301032140;5.2;4
LUZ;202301032150;5.2;4
LUZ;202301032200;5.2;4
LUZ;202301032210;5.2;4
LUZ;202301032220;5.3;4
LUZ;202301032230;5.5;4
LUZ;202301032240;5.3;4
LUZ;202301032250;5.2;4
LUZ;202301032300;5.6;4
LUZ;202301032310;5.6;4
LUZ;202301032320;5.6;4
LUZ;202301032330;5.5;4
LUZ;202301032340;5.3;4
LUZ;202301032350;5.5;4
LUZ;202301040000;5.5;4
LUZ;202301040010;5.7;4
LUZ;202301040020;5.6;4
LUZ;202301040030;5.6;4
LUZ;202301040040;5.6;4
LUZ;202301040050;5.8;4
LUZ;202301040100;5.8;4
LUZ;202301040110;5.7;4
LUZ;202301040120;5.9;4
LUZ;202301040130;6.0;4
LUZ;202301040140;5.9;4
LUZ;202301040150;5.8;4
LUZ;202301040200;5.8;4
LUZ;202301040210;5.9;4
LUZ;202301040220;5.9;4
LUZ;202301040230;5.9;4
LUZ;202301040240;5.8;4
LUZ;202301040250;5.9;4
LUZ;202301040300;5.9;4
LUZ;202301040310;5.9;4
LUZ;202301040320;5.8;4
LUZ;202301040330;5.9;4
LUZ;202301040340;5.9;4
LUZ;202301040350;5.9;4
LUZ;202301040400;5.8;4
LUZ;202301040410;5.3;4
LUZ;202301040420;5.5;4
LUZ;202301040430;5.4;4
LUZ;202301040440;5.2;4
LUZ;202301040450;4.6;4
LUZ;202301040500;4.6;4
LUZ;202301040510;3.8;4
LUZ;202301040520;3.9;4
LUZ;202301040530;3.9;4
LUZ;202301040540;4.2;4
LUZ;202301040550;4.2;4
LUZ;202301040600;4.0;4
LUZ;202301040610;3.2;4
LUZ;202301040620;3.7;4
LUZ;202301040630;2.7;4
LUZ;202301040640;3.5;4
LUZ;202301040650;3.5;4
LUZ;202301040700;3.7;4
LUZ;202301040710;3.7;4
LUZ;202301040720;4.0;4
LUZ;202301040730;4.0;4
LUZ;202301040740;3.6;4
LUZ;202301040750;4.3;4
LUZ;202301040800;4.4;4
LUZ;202301040810;4.7;4
LUZ;202301040820;5.6;4
LUZ;202301040830;5.7;4
LUZ;202301040840;5.7;4
LUZ;202301040850;6.0;4
LUZ;202301040900;6.2;4
LUZ;202301040910;6.3;4
LUZ;202301040920;6.5;4
LUZ;202301040930;6.6;4
LUZ;202301040940;6.6;4
LUZ;202301040950;6.9;4
LUZ;202301041000;6.9;4
LUZ;202301041010;6.9;4
LUZ;202301041020;7.0;4
LUZ;202301041030;7.1;4
LUZ;202301041040;7.0;4
LUZ;202301041050;6.9;4
LUZ;202301041100;7.1;4
LUZ;202301041110;7.0;4
LUZ;202301041120;7.2;4
LUZ;202301041130;7.3;4
LUZ;202301041140;7.5;4
LUZ;202301041150;7.6;4
LUZ;202301041200;7.6;4
LUZ;202301041210;7.5;4
LUZ;202301041220;7.3;4
LUZ;202301041230;7.6;4
LUZ;202301041240;7.4;4
LUZ;202301041250;7.5;4
LUZ;202301041300;7.6;4
LUZ;202301041310;7.8;4
LUZ;202301041320;7.8;4
LUZ;202301041330;7.9;4
LUZ;202301041340;8.1;4
LUZ;202301041350;8.1;4
LUZ;202301041400;7.9;4
LUZ;202301041410;8.0;4
LUZ;202301041420;8.1;4
LUZ;202301041430;8.2;4
LUZ;202301041440;8.2;4
LUZ;202301041450;8.2;4
LUZ;202301041500;8.2;4
LUZ;202301041510;8.0;4
LUZ;202301041520;8.0;4
LUZ;202301041530;7.9;4
LUZ;202301041540;7.7;4
LUZ;202301041550;7.6;4
LUZ;202301041600;7.7;4
LUZ;202301041610;7.5;4
LUZ;202301041620;7.7;4
LUZ;202301041630;7.3;4
LUZ;202301041640;7.3;4
LUZ;202301041650;7.0;4
LUZ;202301041700;7.2;4
LUZ;202301041710;7.1;4
LUZ;202301041720;7.2;4
LUZ;202301041730;7.3;4
LUZ;202301041740;7.3;4
LUZ;202301041750;7.3;4
LUZ;202301041800;7.3;4
LUZ;202301041810;7.6;4
LUZ;202301041820;7.4;4
LUZ;202301041830;7.2;4
LUZ;202301041840;7.2;4
LUZ;202301041850;7.3;4
LUZ;202301041900;7.4;4
LUZ;202301041910;7.2;4
LUZ;202301041920;6.8;4
LUZ;202301041930;6.8;4
LUZ;202301041940;6.8;4
LUZ;202301041950;6.2;4
LUZ;202301042000;6.2;4
LUZ;202301042010;5.7;4
LUZ;202301042020;6.4;4
LUZ;202301042030;6.7;4
LUZ;202301042040;6.7;4
LUZ;202301042050;6.3;4
LUZ;202301042100;6.5;4
LUZ;202301042110;6.4;4
LUZ;202301042120;6.6;4
LUZ;202301042130;6.5;4
LUZ;202301042140;6.5;4
LUZ;202301042150;6.6;4
LUZ;202301042200;6.6;4
LUZ;202301042210;6.6;4
LUZ;202301042220;6.5;4
LUZ;202301042230;6.7;4
LUZ;202301042240;6.5;4
LUZ;202301042250;6.6;4
LUZ;202301042300;6.7;4
LUZ;202301042310;6.7;4
LUZ;202301042320;6.4;4
LUZ;202301042330;6.6;4
LUZ;202301042340;6.6;4
LUZ;202301042350;6.7;4
LUZ;202301050000;6.8;4
LUZ;202301050010;6.6;4
LUZ;202301050020;6.7;4
LUZ;202301050030;6.7;4
LUZ;202301050040;6.5;4
LUZ;202301050050;6.5;4
LUZ;202301050100;6.6;4
LUZ;202301050110;6.6;4
LUZ;202301050120;6.7;4
LUZ;202301050130;6.5;4
LUZ;202301050140;6.5;4
LUZ;202301050150;6.3;4
LUZ;202301050200;6.5;4
LUZ;202301050210;6.6;4
LUZ;202301050220;6.4;4
LUZ;202301050230;6.6;4
LUZ;202301050240;6.5;4
LUZ;202301050250;6.5;4
LUZ;202301050300;6.2;4
LUZ;202301050310;6.4;4
LUZ;202301050320;6.5;4
LUZ;202301050330;6.4;4
LUZ;202301050340;6.9;4
LUZ;202301050350;6.9;4
LUZ;202301050400;6.9;4
LUZ;202301050410;6.7;4
LUZ;202301050420;6.6;4
LUZ;202301050430;7.1;4
LUZ;202301050440;7.2;4
LUZ;202301050450;7.0;4
LUZ;202301050500;6.8;4
LUZ;202301050510;6.8;4
LUZ;202301050520;7.0;4
LUZ;202301050530;6.8;4
LUZ;202301050540;7.1;4
LUZ;202301050550;6.9;4
LUZ;202301050600;6.9;4
LUZ;202301050610;7.0;4
LUZ;202301050620;7.0;4
LUZ;202301050630;7.1;4
LUZ;202301050640;6.9;4
LUZ;202301050650;7.0;4
LUZ;202301050700;7.1;4
LUZ;202301050710;6.7;4
LUZ;202301050720;7.0;4
LUZ;202301050730;7.1;4
LUZ;202301050740;7.1;4
LUZ;202301050750;7.4;4
LUZ;202301050800;7.6;4
LUZ;202301050810;7.6;4
LUZ;202301050820;7.8;4
LUZ;202301050830;7.7;4
LUZ;202301050840;7.9;4
LUZ;202301050850;8.0;4
LUZ;202301050900;8.4;4
LUZ;202301050910;8.3;4
LUZ;202301050920;8.6;4
LUZ;202301050930;9.2;4
LUZ;202301050940;8.9;4
LUZ;202301050950;8.9;4
LUZ;202301051000;9.0;4
LUZ;202301051010;8.7;4
LUZ;202301051020;9.3;4
LUZ;202301051030;9.7;4
LUZ;202301051040;9.8;4
LUZ;202301051050;9.7;4
LUZ;202301051100;9.7;4
LUZ;202301051110;10.0;4
LUZ;202301051120;10.1;4
LUZ;202301051130;10.0;4
LUZ;202301051140;9.9;4
LUZ;202301051150;10.2;4
LUZ;202301051200;10.4;4
LUZ;202301051210;10.3;4
LUZ;202301051220;10.2;4
LUZ;202301051230;10.3;4
LUZ;202301051240;10.2;4
LUZ;202301051250;10.3;4
LUZ;202301051300;10.3;4
LUZ;202301051310;10.3;4
LUZ;202301051320;10.4;4
LUZ;202301051330;10.5;4
LUZ;202301051340;10.6;4
LUZ;202301051350;10.6;4
LUZ;202301051400;10.6;4
LUZ;202301051410;10.6;4
LUZ;202301051420;10.6;4
LUZ;202301051430;10.4;4
LUZ;202301051440;10.1;4
LUZ;202301051450;10.2;4
LUZ;202301051500;10.2;4
LUZ;202301051510;10.2;4
LUZ;202301051520;10.2;4
LUZ;202301051530;9.8;4
LUZ;202301051540;9.9;4
LUZ;202301051550;9.4;4
LUZ;202301051600;9.7;4
LUZ;202301051610;9.4;4
LUZ;202301051620;9.1;4
LUZ;202301051630;9.2;4
LUZ;202301051640;8.6;4
LUZ;202301051650;8.7;4
LUZ;202301051700;8.1;4
LUZ;202301051710;7.6;4
LUZ;202301051720;8.0;4
LUZ;202301051730;7.2;4
LUZ;202301051740;7.2;4
LUZ;202301051750;6.8;4
LUZ;202301051800;7.4;4
LUZ;202301051810;7.4;4
LUZ;202301051820;6.6;4
LUZ;202301051830;6.2;4
LUZ;202301051840;6.4;4
LUZ;202301051850;6.5;4
LUZ;202301051900;6.1;4
LUZ;202301051910;6.1;4
LUZ;202301051920;5.8;4
LUZ;202301051930;6.0;4
LUZ;202301051940;5.5;4
LUZ;202301051950;5.6;4
LUZ;202301052000;5.3;4
LUZ;202301052010;5.2;4
LUZ;202301052020;5.0;4
LUZ;202301052030;5.6;4
LUZ;202301052040;4.7;4
LUZ;202301052050;5.2;4
LUZ;202301052100;5.2;4
LUZ;202301052110;4.9;4
LUZ;202301052120;4.8;4
LUZ;202301052130;4.8;4
LUZ;202301052140;4.6;4
LUZ;202301052150;4.6;4
LUZ;202301052200;4.8;4
LUZ;202301052210;3.9;4
LUZ;202301052220;4.1;4
LUZ;202301052230;4.2;4
LUZ;202301052240;4.0;4
LUZ;202301052250;4.4;4
LUZ;202301052300;3.7;4
LUZ;202301052310;4.1;4
LUZ;202301052320;3.9;4
LUZ;202301052330;4.1;4
LUZ;202301052340;3.9;4
LUZ;202301052350;4.2;4
LUZ;202301060000;3.6;4
LUZ;202301060010;3.6;4
LUZ;202301060020;3.4;4
LUZ;202301060030;2.9;4
LUZ;202301060040;3.1;4
LUZ;202301060050;3.6;4
LUZ;202301060100;2.9;4
LUZ;202301060110;3.2;4
LUZ;202301060120;3.2;4
LUZ;202301060130;3.4;4
LUZ;202301060140;3.0;4
LUZ;202301060150;3.3;4
LUZ;202301060200;3.2;4
LUZ;202301060210;3.0;4
LUZ;202301060220;3.1;4
LUZ;202301060230;1.9;4
LUZ;202301060240;2.4;4
LUZ;202301060250;2.5;4
LUZ;202301060300;2.8;4
LUZ;202301060310;2.3;4
LUZ;202301060320;2.5;4
LUZ;202301060330;2.8;4
LUZ;202301060340;2.0;4
LUZ;202301060350;2.3;4
LUZ;202301060400;2.0;4
LUZ;202301060410;2.5;4
LUZ;202301060420;2.2;4
LUZ;202301060430;2.2;4
LUZ;202301060440;2.3;4
LUZ;202301060450;2.1;4
LUZ;202301060500;2.0;4
LUZ;202301060510;2.0;4
LUZ;202301060520;2.1;4
LUZ;202301060530;2.5;4
LUZ;202301060540;2.7;4
LUZ;202301060550;2.8;4
LUZ;202301060600;2.6;4
LUZ;202301060610;2.9;4
LUZ;202301060620;3.0;4
LUZ;202301060630;3.0;4
LUZ;202301060640;3.1;4
LUZ;202301060650;3.5;4
LUZ;202301060700;3.2;4
LUZ;202301060710;3.5;4
LUZ;202301060720;3.9;4
LUZ;202301060730;4.0;4
LUZ;202301060740;3.8;4
LUZ;202301060750;4.0;4
LUZ;202301060800;4.6;4
LUZ;202301060810;4.8;4
LUZ;202301060820;4.9;4
LUZ;202301060830;5.1;4
LUZ;202301060840;5.3;4
LUZ;202301060850;5.6;4
LUZ;202301060900;5.7;4
LUZ;202301060910;5.7;4
LUZ;202301060920;5.9;4
LUZ;202301060930;6.1;4
LUZ;202301060940;6.4;4
LUZ;202301060950;6.9;4
LUZ;202301061000;7.4;4
LUZ;202301061010;7.5;4
LUZ;202301061020;7.7;4
LUZ;202301061030;7.7;4
LUZ;202301061040;8.1;4
LUZ;202301061050;8.2;4
LUZ;202301061100;7.7;4
LUZ;202301061110;7.7;4
LUZ;202301061120;7.6;4
LUZ;202301061130;7.9;4
LUZ;202301061140;8.1;4
LUZ;202301061150;8.2;4
LUZ;202301061200;8.3;4
LUZ;202301061210;8.1;4
LUZ;202301061220;8.2;4
LUZ;202301061230;8.0;4
LUZ;202301061240;7.9;4
LUZ;202301061250;7.9;4
LUZ;202301061300;7.7;4
LUZ;202301061310;7.7;4
LUZ;202301061320;7.8;4
LUZ;202301061330;7.8;4
LUZ;202301061340;8.1;4
LUZ;202301061350;8.1;4
LUZ;202301061400;8.0;4
LUZ;202301061410;8.0;4
LUZ;202301061420;8.0;4
LUZ;202301061430;8.0;4
LUZ;202301061440;7.9;4
LUZ;202301061450;7.3;4
LUZ;202301061500;8.0;4
LUZ;202301061510;8.0;4
LUZ;202301061520;7.7;4
LUZ;202301061530;7.6;4
LUZ;202301061540;7.3;4
LUZ;202301061550;7.3;4
LUZ;202301061600;7.4;4
LUZ;202301061610;6.7;4
LUZ;202301061620;6.9;4
LUZ;202301061630;6.4;4
LUZ;202301061640;6.0;4
LUZ;202301061650;6.5;4
LUZ;202301061700;6.0;4
LUZ;202301061710;5.9;4
LUZ;202301061720;5.8;4
LUZ;202301061730;6.0;4
LUZ;202301061740;6.0;4
LUZ;202301061750;6.2;4
LUZ;202301061800;7.3;4
LUZ;202301061810;7.3;4
LUZ;202301061820;7.0;4
LUZ;202301061830;7.2;4
LUZ;202301061840;7.0;4
LUZ;202301061850;7.1;4
LUZ;202301061900;7.5;4
LUZ;202301061910;6.8;4
LUZ;202301061920;6.9;4
LUZ;202301061930;6.9;4
LUZ;202301061940;7.1;4
LUZ;202301061950;6.6;4
LUZ;202301062000;6.6;4
LUZ;202301062010;6.9;4
LUZ;202301062020;6.9;4
LUZ;202301062030;6.9;4
LUZ;202301062040;6.9;4
LUZ;202301062050;6.9;4
LUZ;202301062100;6.8;4
LUZ;202301062110;6.8;4
LUZ;202301062120;6.7;4
LUZ;202301062130;6.7;4
LUZ;202301062140;6.4;4
LUZ;202301062150;6.5;4
LUZ;202301062200;6.4;4
LUZ;202301062210;6.6;4
LUZ;202301062220;6.6;4
LUZ;202301062230;6.5;4
LUZ;202301062240;6.4;4
LUZ;202301062250;6.5;4
LUZ;202301062300;6.2;4
LUZ;202301062310;6.3;4
LUZ;202301062320;6.3;4
LUZ;202301062330;6.3;4
LUZ;202301062340;6.3;4
LUZ;202301062350;6.4;4
LUZ;202301070000;6.4;4
LUZ;202301070010;6.3;4
LUZ;202301070020;6.2;4
LUZ;202301070030;6.5;4
LUZ;202301070040;6.4;4
LUZ;202301070050;6.2;4
LUZ;202301070100;6.3;4
LUZ;202301070110;6.5;4
