time;stn;htoauts0;qhtoauts0
202301021530;LUZ;-;-
202301021540;LUZ;-;-
202301021550;LUZ;-;-
202301021600;LUZ;-;-
202301021610;LUZ;-;-
202301021620;LUZ;-;-
202301021630;LUZ;-;-
202301021640;LUZ;-;-
202301021650;LUZ;-;-
202301021700;LUZ;-;-
202301021710;LUZ;-;-
202301021720;LUZ;-;-
202301021730;LUZ;-;-
202301021740;LUZ;-;-
202301021750;LUZ;-;-
202301021800;LUZ;-;-
202301021810;LUZ;-;-
202301021820;LUZ;-;-
202301021830;LUZ;-;-
202301021840;LUZ;-;-
202301021850;LUZ;-;-
202301021900;LUZ;-;-
202301021910;LUZ;-;-
202301021920;LUZ;-;-
202301021930;LUZ;-;-
202301021940;LUZ;-;-
202301021950;LUZ;-;-
202301022000;LUZ;-;-
202301022010;LUZ;-;-
202301022020;LUZ;-;-
202301022030;LUZ;-;-
202301022040;LUZ;-;-
202301022050;LUZ;-;-
202301022100;LUZ;-;-
202301022110;LUZ;-;-
202301022120;LUZ;-;-
202301022130;LUZ;-;-
202301022140;LUZ;-;-
202301022150;LUZ;-;-
202301022200;LUZ;-;-
202301022210;LUZ;-;-
202301022220;LUZ;-;-
202301022230;LUZ;-;-
202301022240;LUZ;-;-
202301022250;LUZ;-;-
202301022300;LUZ;-;-
202301022310;LUZ;-;-
202301022320;LUZ;-;-
202301022330;LUZ;-;-
202301022340;LUZ;-;-
202301022350;LUZ;-;-
202301030000;LUZ;-;-
202301030010;LUZ;-;-
202301030020;LUZ;-;-
202301030030;LUZ;-;-
202301030040;LUZ;-;-
202301030050;LUZ;-;-
202301030100;LUZ;-;-
202301030110;LUZ;-;-
202301030120;LUZ;-;-
202301030130;LUZ;-;-
202301030140;LUZ;-;-
202301030150;LUZ;-;-
202301030200;LUZ;-;-
202301030210;LUZ;-;-
202301030220;LUZ;-;-
202301030230;LUZ;-;-
202301030240;LUZ;-;-
202301030250;LUZ;-;-
202301030300;LUZ;-;-
202301030310;LUZ;-;-
202301030320;LUZ;-;-
202301030330;LUZ;-;-
202301030340;LUZ;-;-
202301030350;LUZ;-;-
202301030400;LUZ;-;-
202301030410;LUZ;-;-
202301030420;LUZ;-;-
202301030430;LUZ;-;-
202301030440;LUZ;-;-
202301030450;LUZ;-;-
202301030500;LUZ;-;-
202301030510;LUZ;-;-
202301030520;LUZ;-;-
202301030530;LUZ;-;-
202301030540;LUZ;-;-
202301030550;LUZ;-;-
202301030600;LUZ;-;-
202301030610;LUZ;-;-
202301030620;LUZ;-;-
202301030630;LUZ;-;-
202301030640;LUZ;-;-
202301030650;LUZ;-;-
202301030700;LUZ;-;-
202301030710;LUZ;-;-
202301030720;LUZ;-;-
202301030730;LUZ;-;-
202301030740;LUZ;-;-
202301030750;LUZ;-;-
202301030800;LUZ;-;-
202301030810;LUZ;-;-
202301030820;LUZ;-;-
202301030830;LUZ;-;-
202301030840;LUZ;-;-
202301030850;LUZ;-;-
202301030900;LUZ;-;-
202301030910;LUZ;-;-
202301030920;LUZ;-;-
202301030930;LUZ;-;-
202301030940;LUZ;-;-
202301030950;LUZ;-;-
202301031000;LUZ;-;-
202301031010;LUZ;-;-
202301031020;LUZ;-;-
202301031030;LUZ;-;-
202301031040;LUZ;-;-
202301031050;LUZ;-;-
202301031100;LUZ;-;-
202301031110;LUZ;-;-
202301031120;LUZ;-;-
202301031130;LUZ;-;-
202301031140;LUZ;-;-
202301031150;LUZ;-;-
202301031200;LUZ;-;-
202301031210;LUZ;-;-
202301031220;LUZ;-;-
202301031230;LUZ;-;-
202301031240;LUZ;-;-
202301031250;LUZ;-;-
202301031300;LUZ;-;-
202301031310;LUZ;-;-
202301031320;LUZ;-;-
202301031330;LUZ;-;-
202301031340;LUZ;-;-
202301031350;LUZ;-;-
202301031400;LUZ;-;-
202301031410;LUZ;-;-
202301031420;LUZ;-;-
202301031430;LUZ;-;-
202301031440;LUZ;-;-
202301031450;LUZ;-;-
202301031500;LUZ;-;-
202301031510;LUZ;-;-
202301031520;LUZ;-;-
202301031530;LUZ;-;-
202301031540;LUZ;-;-
202301031550;LUZ;-;-
202301031600;LUZ;-;-
202301031610;LUZ;-;-
202301031620;LUZ;-;-
202301031630;LUZ;-;-
202301031640;LUZ;-;-
202301031650;LUZ;-;-
202301031700;LUZ;-;-
202301031710;LUZ;-;-
202301031720;LUZ;-;-
202301031730;LUZ;-;-
202301031740;LUZ;-;-
202301031750;LUZ;-;-
202301031800;LUZ;-;-
202301031810;LUZ;-;-
202301031820;LUZ;-;-
202301031830;LUZ;-;-
202301031840;LUZ;-;-
202301031850;LUZ;-;-
202301031900;LUZ;-;-
202301031910;LUZ;-;-
202301031920;LUZ;-;-
202301031930;LUZ;-;-
202301031940;LUZ;-;-
202301031950;LUZ;-;-
202301032000;LUZ;-;-
202301032010;LUZ;-;-
202301032020;LUZ;-;-
202301032030;LUZ;-;-
202301032040;LUZ;-;-
202301032050;LUZ;-;-
202301032100;LUZ;-;-
202301032110;LUZ;-;-
202301032120;LUZ;-;-
202301032130;LUZ;-;-
202301032140;LUZ;-;-
202301032150;LUZ;-;-
202301032200;LUZ;-;-
202301032210;LUZ;-;-
202301032220;LUZ;-;-
202301032230;LUZ;-;-
202301032240;LUZ;-;-
202301032250;LUZ;-;-
202301032300;LUZ;-;-
202301032310;LUZ;-;-
202301032320;LUZ;-;-
202301032330;LUZ;-;-
202301032340;LUZ;-;-
202301032350;LUZ;-;-
202301040000;LUZ;-;-
202301040010;LUZ;-;-
202301040020;LUZ;-;-
202301040030;LUZ;-;-
202301040040;LUZ;-;-
202301040050;LUZ;-;-
202301040100;LUZ;-;-
202301040110;LUZ;-;-
202301040120;LUZ;-;-
202301040130;LUZ;-;-
202301040140;LUZ;-;-
202301040150;LUZ;-;-
202301040200;LUZ;-;-
202301040210;LUZ;-;-
202301040220;LUZ;-;-
202301040230;LUZ;-;-
202301040240;LUZ;-;-
202301040250;LUZ;-;-
202301040300;LUZ;-;-
202301040310;LUZ;-;-
202301040320;LUZ;-;-
202301040330;LUZ;-;-
202301040340;LUZ;-;-
202301040350;LUZ;-;-
202301040400;LUZ;-;-
202301040410;LUZ;-;-
202301040420;LUZ;-;-
202301040430;LUZ;-;-
202301040440;LUZ;-;-
202301040450;LUZ;-;-
202301040500;LUZ;-;-
202301040510;LUZ;-;-
202301040520;LUZ;-;-
202301040530;LUZ;-;-
202301040540;LUZ;-;-
202301040550;LUZ;-;-
202301040600;LUZ;-;-
202301040610;LUZ;-;-
202301040620;LUZ;-;-
202301040630;LUZ;-;-
202301040640;LUZ;-;-
202301040650;LUZ;-;-
202301040700;LUZ;-;-
202301040710;LUZ;-;-
202301040720;LUZ;-;-
202301040730;LUZ;-;-
202301040740;LUZ;-;-
202301040750;LUZ;-;-
202301040800;LUZ;-;-
202301040810;LUZ;-;-
202301040820;LUZ;-;-
202301040830;LUZ;-;-
202301040840;LUZ;-;-
202301040850;LUZ;-;-
202301040900;LUZ;-;-
202301040910;LUZ;-;-
202301040920;LUZ;-;-
202301040930;LUZ;-;-
202301040940;LUZ;-;-
202301040950;LUZ;-;-
202301041000;LUZ;-;-
202301041010;LUZ;-;-
202301041020;LUZ;-;-
202301041030;LUZ;-;-
202301041040;LUZ;-;-
202301041050;LUZ;-;-
202301041100;LUZ;-;-
202301041110;LUZ;-;-
202301041120;LUZ;-;-
202301041130;LUZ;-;-
202301041140;LUZ;-;-
202301041150;LUZ;-;-
202301041200;LUZ;-;-
202301041210;LUZ;-;-
202301041220;LUZ;-;-
202301041230;LUZ;-;-
202301041240;LUZ;-;-
202301041250;LUZ;-;-
202301041300;LUZ;-;-
202301041310;LUZ;-;-
202301041320;LUZ;-;-
202301041330;LUZ;-;-
202301041340;LUZ;-;-
202301041350;LUZ;-;-
202301041400;LUZ;-;-
202301041410;LUZ;-;-
202301041420;LUZ;-;-
202301041430;LUZ;-;-
202301041440;LUZ;-;-
202301041450;LUZ;-;-
202301041500;LUZ;-;-
202301041510;LUZ;-;-
202301041520;LUZ;-;-
202301041530;LUZ;-;-
202301041540;LUZ;-;-
202301041550;LUZ;-;-
202301041600;LUZ;-;-
202301041610;LUZ;-;-
202301041620;LUZ;-;-
202301041630;LUZ;-;-
202301041640;LUZ;-;-
202301041650;LUZ;-;-
202301041700;LUZ;-;-
202301041710;LUZ;-;-
202301041720;LUZ;-;-
202301041730;LUZ;-;-
202301041740;LUZ;-;-
202301041750;LUZ;-;-
202301041800;LUZ;-;-
202301041810;LUZ;-;-
202301041820;LUZ;-;-
202301041830;LUZ;-;-
202301041840;LUZ;-;-
202301041850;LUZ;-;-
202301041900;LUZ;-;-
202301041910;LUZ;-;-
202301041920;LUZ;-;-
202301041930;LUZ;-;-
202301041940;LUZ;-;-
202301041950;LUZ;-;-
202301042000;LUZ;-;-
202301042010;LUZ;-;-
202301042020;LUZ;-;-
202301042030;LUZ;-;-
202301042040;LUZ;-;-
202301042050;LUZ;-;-
202301042100;LUZ;-;-
202301042110;LUZ;-;-
202301042120;LUZ;-;-
202301042130;LUZ;-;-
202301042140;LUZ;-;-
202301042150;LUZ;-;-
202301042200;LUZ;-;-
202301042210;LUZ;-;-
202301042220;LUZ;-;-
202301042230;LUZ;-;-
202301042240;LUZ;-;-
202301042250;LUZ;-;-
202301042300;LUZ;-;-
202301042310;LUZ;-;-
202301042320;LUZ;-;-
202301042330;LUZ;-;-
202301042340;LUZ;-;-
202301042350;LUZ;-;-
202301050000;LUZ;-;-
202301050010;LUZ;-;-
202301050020;LUZ;-;-
202301050030;LUZ;-;-
202301050040;LUZ;-;-
202301050050;LUZ;-;-
202301050100;LUZ;-;-
202301050110;LUZ;-;-
202301050120;LUZ;-;-
202301050130;LUZ;-;-
202301050140;LUZ;-;-
202301050150;LUZ;-;-
202301050200;LUZ;-;-
202301050210;LUZ;-;-
202301050220;LUZ;-;-
202301050230;LUZ;-;-
202301050240;LUZ;-;-
202301050250;LUZ;-;-
202301050300;LUZ;-;-
202301050310;LUZ;-;-
202301050320;LUZ;-;-
202301050330;LUZ;-;-
202301050340;LUZ;-;-
202301050350;LUZ;-;-
202301050400;LUZ;-;-
202301050410;LUZ;-;-
202301050420;LUZ;-;-
202301050430;LUZ;-;-
202301050440;LUZ;-;-
202301050450;LUZ;-;-
202301050500;LUZ;-;-
202301050510;LUZ;-;-
202301050520;LUZ;-;-
202301050530;LUZ;-;-
202301050540;LUZ;-;-
202301050550;LUZ;-;-
202301050600;LUZ;-;-
202301050610;LUZ;-;-
202301050620;LUZ;-;-
202301050630;LUZ;-;-
202301050640;LUZ;-;-
202301050650;LUZ;-;-
202301050700;LUZ;-;-
202301050710;LUZ;-;-
202301050720;LUZ;-;-
202301050730;LUZ;-;-
202301050740;LUZ;-;-
202301050750;LUZ;-;-
202301050800;LUZ;-;-
202301050810;LUZ;-;-
202301050820;LUZ;-;-
202301050830;LUZ;-;-
202301050840;LUZ;-;-
202301050850;LUZ;-;-
202301050900;LUZ;-;-
202301050910;LUZ;-;-
202301050920;LUZ;-;-
202301050930;LUZ;-;-
202301050940;LUZ;-;-
202301050950;LUZ;-;-
202301051000;LUZ;-;-
202301051010;LUZ;-;-
202301051020;LUZ;-;-
202301051030;LUZ;-;-
202301051040;LUZ;-;-
202301051050;LUZ;-;-
202301051100;LUZ;-;-
202301051110;LUZ;-;-
202301051120;LUZ;-;-
202301051130;LUZ;-;-
202301051140;LUZ;-;-
202301051150;LUZ;-;-
202301051200;LUZ;-;-
202301051210;LUZ;-;-
202301051220;LUZ;-;-
202301051230;LUZ;-;-
202301051240;LUZ;-;-
202301051250;LUZ;-;-
202301051300;LUZ;-;-
202301051310;LUZ;-;-
202301051320;LUZ;-;-
202301051330;LUZ;-;-
202301051340;LUZ;-;-
202301051350;LUZ;-;-
202301051400;LUZ;-;-
202301051410;LUZ;-;-
202301051420;LUZ;-;-
202301051430;LUZ;-;-
202301051440;LUZ;-;-
202301051450;LUZ;-;-
202301051500;LUZ;-;-
202301051510;LUZ;-;-
202301051520;LUZ;-;-
202301051530;LUZ;-;-
202301051540;LUZ;-;-
202301051550;LUZ;-;-
202301051600;LUZ;-;-
202301051610;LUZ;-;-
202301051620;LUZ;-;-
202301051630;LUZ;-;-
202301051640;LUZ;-;-
202301051650;LUZ;-;-
202301051700;LUZ;-;-
202301051710;LUZ;-;-
202301051720;LUZ;-;-
202301051730;LUZ;-;-
202301051740;LUZ;-;-
202301051750;LUZ;-;-
202301051800;LUZ;-;-
202301051810;LUZ;-;-
202301051820;LUZ;-;-
202301051830;LUZ;-;-
202301051840;LUZ;-;-
202301051850;LUZ;-;-
202301051900;LUZ;-;-
202301051910;LUZ;-;-
202301051920;LUZ;-;-
202301051930;LUZ;-;-
202301051940;LUZ;-;-
202301051950;LUZ;-;-
202301052000;LUZ;-;-
202301052010;LUZ;-;-
202301052020;LUZ;-;-
202301052030;LUZ;-;-
202301052040;LUZ;-;-
202301052050;LUZ;-;-
202301052100;LUZ;-;-
202301052110;LUZ;-;-
202301052120;LUZ;-;-
202301052130;LUZ;-;-
202301052140;LUZ;-;-
202301052150;LUZ;-;-
202301052200;LUZ;-;-
202301052210;LUZ;-;-
202301052220;LUZ;-;-
202301052230;LUZ;-;-
202301052240;LUZ;-;-
202301052250;LUZ;-;-
202301052300;LUZ;-;-
202301052310;LUZ;-;-
202301052320;LUZ;-;-
202301052330;LUZ;-;-
202301052340;LUZ;-;-
202301052350;LUZ;-;-
202301060000;LUZ;-;-
202301060010;LUZ;-;-
202301060020;LUZ;-;-
202301060030;LUZ;-;-
202301060040;LUZ;-;-
202301060050;LUZ;-;-
202301060100;LUZ;-;-
202301060110;LUZ;-;-
202301060120;LUZ;-;-
202301060130;LUZ;-;-
202301060140;LUZ;-;-
202301060150;LUZ;-;-
202301060200;LUZ;-;-
202301060210;LUZ;-;-
202301060220;LUZ;-;-
202301060230;LUZ;-;-
202301060240;LUZ;-;-
202301060250;LUZ;-;-
202301060300;LUZ;-;-
202301060310;LUZ;-;-
202301060320;LUZ;-;-
202301060330;LUZ;-;-
202301060340;LUZ;-;-
202301060350;LUZ;-;-
202301060400;LUZ;-;-
202301060410;LUZ;-;-
202301060420;LUZ;-;-
202301060430;LUZ;-;-
202301060440;LUZ;-;-
202301060450;LUZ;-;-
202301060500;LUZ;-;-
202301060510;LUZ;-;-
202301060520;LUZ;-;-
202301060530;LUZ;-;-
202301060540;LUZ;-;-
202301060550;LUZ;-;-
202301060600;LUZ;-;-
202301060610;LUZ;-;-
202301060620;LUZ;-;-
202301060630;LUZ;-;-
202301060640;LUZ;-;-
202301060650;LUZ;-;-
202301060700;LUZ;-;-
202301060710;LUZ;-;-
202301060720;LUZ;-;-
202301060730;LUZ;-;-
202301060740;LUZ;-;-
202301060750;LUZ;-;-
202301060800;LUZ;-;-
202301060810;LUZ;-;-
202301060820;LUZ;-;-
202301060830;LUZ;-;-
202301060840;LUZ;-;-
202301060850;LUZ;-;-
202301060900;LUZ;-;-
202301060910;LUZ;-;-
202301060920;LUZ;-;-
202301060930;LUZ;-;-
202301060940;LUZ;-;-
202301060950;LUZ;-;-
202301061000;LUZ;-;-
202301061010;LUZ;-;-
202301061020;LUZ;-;-
202301061030;LUZ;-;-
202301061040;LUZ;-;-
202301061050;LUZ;-;-
202301061100;LUZ;-;-
202301061110;LUZ;-;-
202301061120;LUZ;-;-
202301061130;LUZ;-;-
202301061140;LUZ;-;-
202301061150;LUZ;-;-
202301061200;LUZ;-;-
202301061210;LUZ;-;-
202301061220;LUZ;-;-
202301061230;LUZ;-;-
202301061240;LUZ;-;-
202301061250;LUZ;-;-
202301061300;LUZ;-;-
202301061310;LUZ;-;-
202301061320;LUZ;-;-
202301061330;LUZ;-;-
202301061340;LUZ;-;-
202301061350;LUZ;-;-
202301061400;LUZ;-;-
202301061410;LUZ;-;-
202301061420;LUZ;-;-
202301061430;LUZ;-;-
202301061440;LUZ;-;-
202301061450;LUZ;-;-
202301061500;LUZ;-;-
202301061510;LUZ;-;-
202301061520;LUZ;-;-
202301061530;LUZ;-;-
202301061540;LUZ;-;-
202301061550;LUZ;-;-
202301061600;LUZ;-;-
202301061610;LUZ;-;-
202301061620;LUZ;-;-
202301061630;LUZ;-;-
202301061640;LUZ;-;-
202301061650;LUZ;-;-
202301061700;LUZ;-;-
202301061710;LUZ;-;-
202301061720;LUZ;-;-
202301061730;LUZ;-;-
202301061740;LUZ;-;-
202301061750;LUZ;-;-
202301061800;LUZ;-;-
202301061810;LUZ;-;-
202301061820;LUZ;-;-
202301061830;LUZ;-;-
202301061840;LUZ;-;-
202301061850;LUZ;-;-
202301061900;LUZ;-;-
202301061910;LUZ;-;-
202301061920;LUZ;-;-
202301061930;LUZ;-;-
202301061940;LUZ;-;-
202301061950;LUZ;-;-
202301062000;LUZ;-;-
202301062010;LUZ;-;-
202301062020;LUZ;-;-
202301062030;LUZ;-;-
202301062040;LUZ;-;-
202301062050;LUZ;-;-
202301062100;LUZ;-;-
202301062110;LUZ;-;-
202301062120;LUZ;-;-
202301062130;LUZ;-;-
202301062140;LUZ;-;-
202301062150;LUZ;-;-
202301062200;LUZ;-;-
202301062210;LUZ;-;-
202301062220;LUZ;-;-
202301062230;LUZ;-;-
202301062240;LUZ;-;-
202301062250;LUZ;-;-
202301062300;LUZ;-;-
202301062310;LUZ;-;-
202301062320;LUZ;-;-
202301062330;LUZ;-;-
202301062340;LUZ;-;-
202301062350;LUZ;-;-
202301070000;LUZ;-;-
202301070010;LUZ;-;-
202301070020;LUZ;-;-
202301070030;LUZ;-;-
202301070040;LUZ;-;-
202301070050;LUZ;-;-
202301070100;LUZ;-;-
202301070110;LUZ;-;-
202301070120;LUZ;-;-
202301070130;LUZ;-;-
202301070140;LUZ;-;-
202301070150;LUZ;-;-
202301070200;LUZ;-;-
202301070210;LUZ;-;-
202301070220;LUZ;-;-
202301070230;LUZ;-;-
202301070240;LUZ;-;-
202301070250;LUZ;-;-
202301070300;LUZ;-;-
202301070310;LUZ;-;-
202301070320;LUZ;-;-
202301070330;LUZ;-;-
202301070340;LUZ;-;-
202301070350;LUZ;-;-
202301070400;LUZ;-;-
202301070410;LUZ;-;-
202301070420;LUZ;-;-
202301070430;LUZ;-;-
202301070440;LUZ;-;-
202301070450;LUZ;-;-
202301070500;LUZ;-;-
202301070510;LUZ;-;-
202301070520;LUZ;-;-
202301070530;LUZ;-;-
202301070540;LUZ;-;-
202301070550;LUZ;-;-
202301070600;LUZ;-;-
202301070610;LUZ;-;-
202301070620;LUZ;-;-
202301070630;LUZ;-;-
202301070640;LUZ;-;-
202301070650;LUZ;-;-
202301070700;LUZ;-;-
202301070710;LUZ;-;-
202301070720;LUZ;-;-
202301070730;LUZ;-;-
202301070740;LUZ;-;-
202301070750;LUZ;-;-
202301070800;LUZ;-;-
202301070810;LUZ;-;-
202301070820;LUZ;-;-
202301070830;LUZ;-;-
202301070840;LUZ;-;-
202301070850;LUZ;-;-
202301070900;LUZ;-;-
202301070910;LUZ;-;-
202301070920;LUZ;-;-
202301070930;LUZ;-;-
202301070940;LUZ;-;-
202301070950;LUZ;-;-
202301071000;LUZ;-;-
202301071010;LUZ;-;-
202301071020;LUZ;-;-
202301071030;LUZ;-;-
202301071040;LUZ;-;-
202301071050;LUZ;-;-
202301071100;LUZ;-;-
202301071110;LUZ;-;-
202301071120;LUZ;-;-
202301071130;LUZ;-;-
202301071140;LUZ;-;-
202301071150;LUZ;-;-
202301071200;LUZ;-;-
202301071210;LUZ;-;-
202301071220;LUZ;-;-
202301071230;LUZ;-;-
202301071240;LUZ;-;-
202301071250;LUZ;-;-
202301071300;LUZ;-;-
202301071310;LUZ;-;-
202301071320;LUZ;-;-
202301071330;LUZ;-;-
202301071340;LUZ;-;-
202301071350;LUZ;-;-
202301071400;LUZ;-;-
202301071410;LUZ;-;-
202301071420;LUZ;-;-
202301071430;LUZ;-;-
202301071440;LUZ;-;-
202301071450;LUZ;-;-
202301071500;LUZ;-;-
202301071510;LUZ;-;-
202301071520;LUZ;-;-
202301071530;LUZ;-;-
202301071540;LUZ;-;-
202301071550;LUZ;-;-
202301071600;LUZ;-;-
202301071610;LUZ;-;-
202301071620;LUZ;-;-
202301071630;LUZ;-;-
202301071640;LUZ;-;-
202301071650;LUZ;-;-
202301071700;LUZ;-;-
202301071710;LUZ;-;-
202301071720;LUZ;-;-
202301071730;LUZ;-;-
202301071740;LUZ;-;-
202301071750;LUZ;-;-
202301071800;LUZ;-;-
202301071810;LUZ;-;-
202301071820;LUZ;-;-
202301071830;LUZ;-;-
202301071840;LUZ;-;-
202301071850;LUZ;-;-
202301071900;LUZ;-;-
202301071910;LUZ;-;-
202301071920;LUZ;-;-
202301071930;LUZ;-;-
202301071940;LUZ;-;-
202301071950;LUZ;-;-
202301072000;LUZ;-;-
202301072010;LUZ;-;-
202301072020;LUZ;-;-
202301072030;LUZ;-;-
202301072040;LUZ;-;-
202301072050;LUZ;-;-
202301072100;LUZ;-;-
202301072110;LUZ;-;-
202301072120;LUZ;-;-
202301072130;LUZ;-;-
202301072140;LUZ;-;-
202301072150;LUZ;-;-
202301072200;LUZ;-;-
